name,city,state,type,latitude,longitude
Indian Institute of Science (IISc),Bangalore,Karnataka,Institute of National Importance,13.0219,77.5671
Indian Institute of Management Bangalore (IIMB),Bangalore,Karnataka,Institute of National Importance,12.8956,77.6015
International Institute of Information Technology Bangalore (IIITB),Bangalore,Karnataka,Deemed University,12.844,77.6633
National Law School of India University (NLSIU),Bangalore,Karnataka,State University,12.9515,77.5146
National Institute of Mental Health and Neuro Sciences (NIMHANS),Bangalore,Karnataka,Institute of National Importance,12.9392,77.5959
"Christ University (Main Campus, Hosur Road)",Bangalore,Karnataka,Deemed University,12.9345,77.606
Christ University (Bannerghatta Road Campus),Bangalore,Karnataka,Deemed University,12.8631,77.6001
Christ University (Yeshwanthpur Campus),Bangalore,Karnataka,Deemed University,13.0336,77.5342
RV College of Engineering (RVCE),Bangalore,Karnataka,Autonomous College,12.9237,77.4987
BMS College of Engineering (BMSCE),Bangalore,Karnataka,Autonomous College,12.941,77.5655
MS Ramaiah Institute of Technology (MSRIT),Bangalore,Karnataka,Autonomous College,13.0315,77.565
MS Ramaiah University of Applied Sciences (MSRUAS),Bangalore,Karnataka,Private University,13.0298,77.5645
PES University (Ring Road Campus),Bangalore,Karnataka,Private University,12.9344,77.5345
PES University (Electronic City Campus),Bangalore,Karnataka,Private University,12.8617,77.6644
Dayananda Sagar College of Engineering (DSCE),Bangalore,Karnataka,Autonomous College,12.9081,77.5659
Dayananda Sagar University (DSU),Bangalore,Karnataka,Private University,12.8252,77.5601
Bangalore University (Jnana Bharathi Campus),Bangalore,Karnataka,State University,12.9482,77.5028
St. Joseph's University (Langford Road),Bangalore,Karnataka,State University,12.962,77.6015
Mount Carmel College (Autonomous),Bangalore,Karnataka,Autonomous College,12.9926,77.5925
St. John's Medical College,Bangalore,Karnataka,Private College,12.9315,77.6186
Bangalore Medical College and Research Institute (BMCRI),Bangalore,Karnataka,Government Medical College,12.961,77.5746
New Horizon College of Engineering (NHCE),Bangalore,Karnataka,Autonomous College,12.9342,77.6917
BMS Institute of Technology and Management (BMSIT),Bangalore,Karnataka,Autonomous College,13.1332,77.5678
Nitte Meenakshi Institute of Technology (NMIT),Bangalore,Karnataka,Autonomous College,13.1287,77.5873
Acharya Institute of Technology,Bangalore,Karnataka,Private College,13.0845,77.4842
Reva University,Bangalore,Karnataka,Private University,13.1154,77.6358
CMR University,Bangalore,Karnataka,Private University,13.0906,77.6534
Alliance University,Bangalore,Karnataka,Private University,12.7289,77.7088
Jain University,Bangalore,Karnataka,Deemed University,12.9568,77.5794
Presidency University Bangalore,Bangalore,Karnataka,Private University,13.1678,77.5342
The Oxford College of Engineering,Bangalore,Karnataka,Private College,12.9022,77.62
Sir M. Visvesvaraya Institute of Technology (Sir MVIT),Bangalore,Karnataka,Private College,13.1511,77.6083
Savitribai Phule Pune University (SPPU),Pune,Maharashtra,State University,18.5529,73.8266
College of Engineering Pune (COEP Technological University),Pune,Maharashtra,State University,18.5293,73.8565
Symbiosis International University (Lavale Campus),Pune,Maharashtra,Deemed University,18.5362,73.7314
Symbiosis Institute of Business Management (SIBM),Pune,Maharashtra,Deemed University,18.5365,73.731
Symbiosis Law School (Viman Nagar),Pune,Maharashtra,Deemed University,18.5665,73.9123
Fergusson College (Autonomous),Pune,Maharashtra,Autonomous College,18.5236,73.8398
Armed Forces Medical College (AFMC),Pune,Maharashtra,Institute of National Importance,18.502,73.892
B.J. Government Medical College,Pune,Maharashtra,Government Medical College,18.5262,73.8736
Vishwakarma Institute of Technology (VIT Pune),Pune,Maharashtra,Autonomous College,18.4636,73.8682
Vishwakarma Institute of Information Technology (VIIT),Pune,Maharashtra,Autonomous College,18.459,73.8837
Pune Institute of Computer Technology (PICT),Pune,Maharashtra,Autonomous College,18.4575,73.8508
"MIT World Peace University (MIT-WPU, Kothrud)",Pune,Maharashtra,Private University,18.5178,73.8151
Bharati Vidyapeeth Deemed University (Dhankawadi),Pune,Maharashtra,Deemed University,18.4578,73.854
Sinhgad College of Engineering (Vadgaon),Pune,Maharashtra,Private College,18.4642,73.8361
Sinhgad Institute of Technology and Science (Narhe),Pune,Maharashtra,Private College,18.4485,73.8242
MKSSS's Cummins College of Engineering for Women,Pune,Maharashtra,Autonomous College,18.4883,73.8173
Army Institute of Technology (AIT),Pune,Maharashtra,Private College,18.6068,73.8749
D.Y. Patil International University (Akurdi),Pune,Maharashtra,Private University,18.6475,73.7592
Dr. D.Y. Patil Vidyapeeth (Pimpri),Pune,Maharashtra,Deemed University,18.6253,73.814
Brihan Maharashtra College of Commerce (BMCC),Pune,Maharashtra,Autonomous College,18.5255,73.8345
Sir Parashurambhau College (SP College),Pune,Maharashtra,Autonomous College,18.505,73.8512
"Modern College of Arts, Science and Commerce (Shivajinagar)",Pune,Maharashtra,Autonomous College,18.5305,73.8478
Indian Institute of Science Education and Research Pune (IISER Pune),Pune,Maharashtra,Institute of National Importance,18.5444,73.8078
Film and Television Institute of India (FTII),Pune,Maharashtra,Autonomous Institute,18.514,73.8315
National Defence Academy (NDA Khadakwasla),Pune,Maharashtra,Defence Academy,18.4544,73.7667
FLAME University,Pune,Maharashtra,Private University,18.5303,73.7058
Indira Institute of Management (Tathawade),Pune,Maharashtra,Private College,18.6128,73.7505
Pimpri Chinchwad College of Engineering (PCCOE),Pune,Maharashtra,Autonomous College,18.6517,73.7615
Indian Institute of Technology Delhi (IIT Delhi),Delhi,Delhi,Institute of National Importance,28.545,77.1926
Delhi University (North Campus - Main),Delhi,Delhi,Central University,28.6906,77.2066
St. Stephen's College (DU),Delhi,Delhi,Constituent College,28.6853,77.2098
Hindu College (DU),Delhi,Delhi,Constituent College,28.684,77.2085
Miranda House (DU),Delhi,Delhi,Constituent College,28.6912,77.2104
"Shri Ram College of Commerce (SRCC, DU)",Delhi,Delhi,Constituent College,28.6865,77.2075
Hansraj College (DU),Delhi,Delhi,Constituent College,28.68,77.2092
"Kirori Mal College (KMC, DU)",Delhi,Delhi,Constituent College,28.6845,77.209
Ramjas College (DU),Delhi,Delhi,Constituent College,28.6848,77.2079
"Lady Shri Ram College for Women (LSR, DU)",Delhi,Delhi,Constituent College,28.5678,77.2435
"Sri Venkateswara College (Venky, DU South Campus)",Delhi,Delhi,Constituent College,28.5878,77.1672
Delhi University (South Campus),Delhi,Delhi,Central University,28.5862,77.1645
Jawaharlal Nehru University (JNU),Delhi,Delhi,Central University,28.54,77.1666
Jamia Millia Islamia (JMI),Delhi,Delhi,Central University,28.5616,77.2802
"Delhi Technological University (DTU, Rohini)",Delhi,Delhi,State University,28.7501,77.1177
"Netaji Subhas University of Technology (NSUT, Dwarka)",Delhi,Delhi,State University,28.61,77.0375
Indira Gandhi Delhi Technical University for Women (IGDTUW),Delhi,Delhi,State University,28.6652,77.2325
"Guru Gobind Singh Indraprastha University (GGSIPU, Dwarka)",Delhi,Delhi,State University,28.595,77.0195
"Maharaja Agrasen Institute of Technology (MAIT, Rohini)",Delhi,Delhi,Affiliated College,28.7231,77.0673
Bharati Vidyapeeth's College of Engineering (Paschim Vihar),Delhi,Delhi,Affiliated College,28.6756,77.1132
All India Institute of Medical Sciences (AIIMS New Delhi),Delhi,Delhi,Institute of National Importance,28.5672,77.21
Maulana Azad Medical College (MAMC),Delhi,Delhi,Government Medical College,28.6366,77.241
Lady Hardinge Medical College (LHMC),Delhi,Delhi,Government Medical College,28.6338,77.2144
Vardhman Mahavir Medical College (VMMC & Safdarjung Hospital),Delhi,Delhi,Government Medical College,28.5714,77.2075
"National Law University Delhi (NLU Delhi, Dwarka)",Delhi,Delhi,State University,28.5912,77.0204
Indian Institute of Foreign Trade (IIFT Delhi),Delhi,Delhi,Deemed University,28.5408,77.1989
Indraprastha Institute of Information Technology Delhi (IIIT-Delhi),Delhi,Delhi,State University,28.5459,77.2732
"Atma Ram Sanatan Dharma College (ARSD, DU)",Delhi,Delhi,Constituent College,28.5878,77.1652
Gargi College (DU),Delhi,Delhi,Constituent College,28.5528,77.2206
